repo,average_avg_lines_added_to_files,average_code_churn_avg,average_code_churn_max,average_code_churn_total,average_contributor_experience,average_contributors,average_dmm_method_cyclomatic_complexity,average_dmm_method_lines_of_code,average_dmm_method_number_of_parameters,average_files_modified_per_commit,average_history_complexity,average_hunks,average_lines_added_per_commit,average_lines_added_to_files,average_lines_deleted_from_files,average_lines_deleted_per_commit,average_minor_contributors,change_set_avg,change_set_max,developer_count,developers,files_modified,lines_added,lines_deleted,repo_url,total_commits
RecGFI,733.6310679611651,727.0097087378641,931.728155339806,915.242718446602,93.24797101449276,1.855072463768116,0.440794342614387,0.5900163226919066,0.6428921427032478,3.061728395061728,0.5557971014492755,0.9757281553398058,1205.1358024691358,947.728155339806,32.48543689320388,41.30864197530864,0.6376811594202898,3,50,3,"['RecGFI', 'mcxwx', 'Hao He']",248,97616,3346,https://github.com/mcxwx123/RecGFI,81
ReluDiff-ICSE2020-Artifact,312.65446224256294,312.4393592677346,317.137299771167,317.09382151029746,99.3934306569343,1.0437956204379562,0.4280561048853731,0.3601497839302717,0.3155167362484435,38.75,0.2124087591240882,0.9439359267734554,11558.833333333334,317.4050343249428,0.3112128146453089,11.333333333333334,0.0170316301703163,39,424,1,['Brandon Paulsen'],465,138706,136,https://github.com/pauls658/ReluDiff-ICSE2020-Artifact,12
RestCT,310.0434782608696,299.463768115942,697.4492753623189,687.4347826086956,93.19589285714284,1.375,0.7229677461562282,0.6915935951915549,0.7771579753753777,3.28,1.2475000000000005,1.2463768115942029,703.44,764.6086956521739,77.17391304347827,71.0,0.1428571428571428,3,47,6,"['Huayao', 'xlx-nju', 'Lixin', 'nralt', 'zypan', 'LxXu']",246,52758,5325,https://github.com/GIST-NJU/RestCT,75
SOAR,115.80799045915325,115.80292188431724,115.85032796660704,115.84704830053668,99.9964924924925,1.0003003003003004,0.584838614154575,0.4761622742078768,0.8127035830618893,419.75,0.0139849849849848,0.992844364937388,48575.5,115.8628503279666,0.0158020274299344,6.625,0.0,420,3351,1,['Daniel Ramos'],3358,388604,53,https://github.com/danieltrt/SOAR,8
TRADER,1.5376470588235294,1.5329411764705885,1.6094117647058823,1.6058823529411763,99.64363636363636,1.181818181818182,0.7032679738562092,0.1673202614379084,0.2562091503267973,104.0909090909091,7.222727272727274,0.0129411764705882,124.9090909090909,1.616470588235294,0.0105882352941176,0.8181818181818182,0.1818181818181818,104,516,2,"['trader-rnn', 'Guanhong Tao']",1145,1374,9,https://github.com/Gwinhen/TRADER,11
Tailor,203.39455782312925,198.7891156462585,201.3333333333333,202.7074829931973,99.82598484848484,1.0075757575757576,0.5394002068252327,0.2981385729058945,0.7059979317476732,37.5,0.6341666666666668,0.9013605442176872,7619.0,207.31972789115648,4.612244897959184,169.5,0.0,38,146,2,"['jun-zeng', 'Jun ZENG']",150,30476,678,https://github.com/jun-zeng/Tailor,4
TaintMini,3062.5806451612902,3062.5806451612902,3065.2258064516127,3065.451612903226,100.0,1.0,0.3575377810541835,0.3907113896056026,0.4043494286767416,8.25,0.4396666666666664,0.967741935483871,23757.75,3065.516129032258,0.064516129032258,0.5,0.0,8,30,1,['Chao Wang'],33,95031,2,https://github.com/OSUSecLab/TaintMini,4
TranCS,101.46153846153848,101.3076923076923,104.76923076923076,105.17307692307692,99.65,1.0810810810810811,0.5021787990167326,0.4063671195490269,0.6275553609150952,3.5789473684210527,2.221891891891893,0.75,288.89473684210526,105.5576923076923,0.3846153846153846,1.0526315789473684,0.054054054054054,4,18,2,"['yuc-chen', 'WeisongSun']",68,5489,20,https://github.com/wssun/TranCS,19
TypeOracleSrc,255.2317073170732,255.2317073170732,255.25,255.4451219512195,99.7026923076923,1.0064102564102564,0.4419423223071077,0.3686652533898644,0.7786088556457742,55.0,0.5821794871794872,0.951219512195122,13964.333333333334,255.4451219512195,0.0,0.0,0.0,55,164,2,"['TypeOracle', 'Suyue Guo']",165,41893,0,https://github.com/TypeOracle/TypeOracleSrc,3
amalfi-artifact,4200.592592592592,4200.592592592592,4200.592592592592,4200.592592592592,100.0,1.0,0.1886792452830188,0.0880503144654088,0.1886792452830188,108.0,0.711666666666667,1.0,453664.0,4200.592592592592,0.0,0.0,0.0,108,108,1,['asejfia'],108,453664,0,https://github.com/githubnext/amalfi-artifact,1
astnn,76168.72727272728,76167.04545454546,76200.0,76204.86363636363,86.53933333333333,2.1333333333333333,0.8700159489633174,0.5251400646137488,0.7064945288629499,1.5454545454545454,0.03,1.3409090909090908,38107.88636363636,76215.77272727272,10.909090909090908,5.454545454545454,0.4,2,18,8,"['server3', 'anonymity001', 'jayzach', 'zhangj1994', 'yanhao', 'Luiz Otavio V. B. Oliveira', 'Zhiwei Xu', 'zhangj111']",68,1676747,240,https://github.com/zhangj111/astnn,44
autotap,151.78220858895705,151.75766871165644,152.20245398773005,152.21779141104295,99.81882165605096,1.0063694267515924,0.466499162479062,0.4230677195501316,0.8094041636755205,33.6,0.1991082802547776,0.9677914110429447,4965.3,152.30981595092024,0.0920245398773006,3.0,0.0,34,325,3,"['zlfben', 'arsene1995', 'Lefan Zhang']",336,49653,30,https://github.com/zlfben/autotap,10
baital,185.21052631578948,163.44736842105263,238.3421052631579,109.26315789473684,99.41513513513516,1.108108108108108,0.6834432257671827,0.6462533093530686,0.6526818700796329,2.8461538461538463,1.697837837837838,1.6710526315789471,266.61538461538464,273.63157894736844,164.3684210526316,160.15384615384616,0.081081081081081,3,21,3,"['edbaranov', 'Eduard Baranov', 'Kuldeep S. Meel']",111,10398,6246,https://github.com/meelgroup/baital,39
bftdetector,402.70522178551374,402.6530039303762,402.88770353733855,402.8366086468277,99.9080359937402,1.0046948356807512,0.6674038089713844,0.5388026875483372,0.8153398105181748,163.27272727272728,0.0576525821596243,0.7198203256597417,65241.181818181816,402.9494665918024,0.1128579449747333,18.27272727272728,0.0007824726134585,163,1774,2,"['jspaper22', 'I Luk Kim']",1796,717653,201,https://github.com/jspaper22/bftdetector,11
clm,2893.101226993865,2892.058282208589,2894.4601226993864,2892.5828220858893,99.7731861198738,1.0063091482649842,0.5385383386581469,0.2711661341853035,0.3148961661341853,30.545454545454547,0.2704416403785495,0.97239263803681,85787.45454545454,2894.6687116564417,2.085889570552147,61.81818181818182,0.0,31,323,3,"['lin-tan', 'jiang719', 'Nan Jiang']",336,943662,680,https://github.com/lin-tan/clm,11
